timestamp,act379,act13,act279,act323,act363,act302,latitude,longitude,FIR
3/3/2018 19:45,1,0,0,0,0,0,22.7533,75.8937,FIR34$
3/3/2018 15:30,1,0,0,0,0,0,22.7406,75.8509,FIR109$
3/3/2018 16:00,1,0,0,0,0,0,22.7406,75.8509,FIR131$
3/3/2018 13:40,0,0,1,0,0,0,22.7244,75.8839,
3/3/2018 17:40,0,0,1,0,0,0,22.7152,75.87,FIR75$
3/3/2018 12:50,0,0,1,0,0,0,22.66215,75.9035,FIR157$
3/3/2018 13:00,0,0,1,0,0,0,22.7406,75.8509,FIR118$
3/3/2018 23:10,0,0,1,0,0,0,22.713,75.8236,FIR177$
3/3/2018 20:40,0,0,1,0,0,0,,75.6143,FIR12$
3/3/2018 4:10,0,0,0,1,0,0,22.7853,75.9057,FIR52$
3/3/2018 20:05,0,0,0,1,0,0,22.7462,75.8682,FIR179$
3/3/2018 0:15,0,0,0,1,0,0,22.72,75.8437,FIR137$
3/3/2018 22:50,0,0,0,1,0,0,22.713,75.8236,FIR28$
3/3/2018 23:40,0,0,0,0,1,0,22.7368,75.9086,FIR169$
3/3/2018 14:10,0,0,0,0,1,0,22.7278,75.8046,FIR112$
3/3/2018 22:50,0,0,1,0,0,0,22.7368,75.9086,FIR125$
3/3/2018 3:15,0,0,1,0,0,0,22.5524,75.7565,FIR130$
3/3/2018 16:10,0,0,1,0,0,0,22.814795,75.935097,
3/3/2018 17:50,0,0,1,0,0,0,22.8514,75.5422,FIR134$
3/3/2018 21:20,0,0,0,1,0,0,22.7462,75.8682,FIR19$
3/3/2018 11:20,0,0,1,0,0,0,22.7406,75.8509,FIR86$
3/3/2018 14:00,0,0,0,1,0,0,,,FIR75$
4/3/2018 9:00,0,0,0,1,0,0,22.724,75.8621,FIR106$
4/3/2018 19:05,0,0,1,0,0,0,22.7224,75.8743,FIR32$
4/3/2018 14:30,0,0,1,0,0,0,22.7096,75.8885,FIR61$
4/3/2018 23:05,0,0,0,1,0,0,22.7145,75.8802,FIR37$
4/3/2018 22:00,0,0,0,1,0,0,22.7007,75.8672,FIR78$
4/3/2018 18:30,0,0,0,1,0,0,22.7428,,FIR10$
4/3/2018 22:00,0,0,0,1,0,0,22.7073,75.9131,FIR170$
4/3/2018 13:40,0,0,1,0,0,0,22.7093,75.9014,FIR128$
4/3/2018 18:00,1,0,0,0,0,0,22.706,75.8605,FIR26$
4/3/2018 13:30,0,0,0,1,0,0,22.6962,75.8875,FIR16$
4/3/2018 21:30,0,0,1,0,0,0,22.6474,75.9031,
4/3/2018 22:00,0,0,0,1,0,0,22.7048,75.8366,FIR83$
4/3/2018 8:00,0,0,1,0,0,0,22.68883,75.83114,FIR142$
4/3/2018 20:00,0,0,0,1,0,0,22.79283,75.738,FIR184$
4/3/2018 8:30,0,0,0,1,0,0,22.53765,75.83305,FIR83$
4/3/2018 17:00,0,0,0,0,0,1,,75.911397,FIR109$
4/3/2018 21:00,0,0,1,0,0,0,22.72522,75.8713,FIR87$
5/3/2018 6:15,0,0,1,0,0,0,22.7236,75.8591,FIR104$
5/3/2018 23:00,0,0,0,1,0,0,22.737,75.88501,FIR124$
5/3/2018 7:30,0,0,1,0,0,0,22.737,75.88501,FIR201$
5/3/2018 19:30,0,1,0,0,0,0,22.7379,75.897,FIR80$
5/3/2018 20:00,0,0,1,0,0,0,22.7657,75.8859,FIR20$
5/3/2018 13:30,0,0,0,1,0,0,22.7813,75.9034,
5/3/2018 10:00,0,0,1,0,0,0,22.726,75.927,FIR0$
5/3/2018 14:00,0,0,1,0,0,0,22.726,75.927,FIR74$
5/3/2018 23:10,0,0,1,0,0,0,,75.879,FIR18$
5/3/2018 19:05,1,0,0,0,0,0,22.794868,75.853759,FIR183$
5/3/2018 19:10,1,0,0,0,0,0,22.699621,75.859932,FIR204$
5/3/2018 3:30,0,0,0,1,0,0,22.710027,75.862469,FIR43$
5/3/2018 18:45,1,0,0,0,0,0,22.698714,,FIR77$
5/3/2018 12:10,1,0,0,0,0,0,22.725692,75.838532,FIR18$
5/3/2018 14:25,0,0,1,0,0,0,22.728529,75.845047,FIR93$
5/3/2018 15:40,0,0,1,0,0,0,22.728529,75.845047,FIR77$
5/3/2018 0:45,0,0,0,1,0,0,22.706607,75.838129,FIR62$
5/3/2018 13:15,0,0,0,1,0,0,,,FIR57$
5/3/2018 14:00,0,0,1,0,0,0,22.696486,75.831778,FIR15$
5/3/2018 22:20,0,0,1,0,0,0,22.682472,75.837122,FIR238$
5/3/2018 19:45,1,0,0,0,0,0,22.690853,75.770579,FIR59$
